0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,0,0,0,0,0,0,0,0,0,0,285,510,2574,95,613,382,1209,2147,482,1264,236,15045,563,740,3054,1947,1174,358,2887,2930,1239,2120,317,8463,498,842,4078,3725,1855,747,4639,3081,1418,1461,392,7336,445,669,2936,1884,1509,598,2925,2542,923,1379,234,4815,328,481,2008,1359,771,277,2007,1727,573,1204,246,2621,155,68,1330,682,435,110,465,1184,115,231,0,1237,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,387,129,1714,1054,2079,31,2650,1205,2400,230,225,25893,283,129,1570,1763,2096,706,4955,1433,2849,2758,232,13364,901,878,2924,7069,3757,608,6619,2754,4136,4394,517,9564,822,1556,2168,4759,3409,763,4443,1650,3518,2462,627,5519,482,1252,1383,3137,1552,418,1688,1043,2142,527,137,2573,343,771,273,87,790,198,329,398,12,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,269,376,1820,2344,3998,465,3333,1263,581,701,372,14693,212,328,2157,3013,4112,499,6383,871,4301,489,251,10606,235,348,3006,4069,1988,1245,5370,917,2948,984,237,6189,436,764,2954,2450,821,760,3322,835,1016,709,104,3636,283,460,1374,1805,437,121,2086,907,331,250,55,1508,96,124,578,522,94,26,579,302,0,2,0,18,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,271,1575,805,4143,312,6728,1222,2364,1107,291,27456,297,597,1434,5525,3767,744,9713,1651,5471,4493,756,19313,155,1888,3441,8063,5696,1022,8439,2381,5777,2835,686,11388,99,1475,1634,5137,4210,950,6548,647,3470,1778,205,6801,141,1105,545,2697,2475,733,1170,822,2331,769,198,2965,186,295,171,586,1496,180,398,0,1305,151,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,504,305,2018,1976,609,2150,1234,2442,611,148,16543,285,729,1021,2576,2910,1380,5280,1271,4483,3226,196,9016,946,1202,2412,6674,4928,705,4974,1506,3886,2239,1180,6075,591,1602,1179,2100,1969,833,1285,649,2537,895,221,1891,329,402,1413,897,1344,505,475,444,1017,200,81,666,84,77,453,266,674,150,26,6,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,907,2187,2607,2024,697,10714,2403,2625,1703,594,28854,425,2624,5186,9288,2467,1271,14998,3678,3346,2654,780,18315,434,2006,7635,11686,4175,2321,12864,3990,3827,2167,2366,15839,678,2881,5226,7553,3387,818,8522,1769,1977,655,567,7266,236,513,1780,3974,581,442,3479,667,349,110,103,3354,42,86,345,1171,9,0,255,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,1191,3485,2504,5489,779,19856,4957,1769,503,1582,39826,1231,2964,5231,15832,6366,1829,25223,5234,7693,2926,2524,31978,974,3402,6738,21474,8195,3753,19648,4638,6168,2283,3568,19640,875,6010,4523,10610,4239,1662,6058,2691,2540,387,1685,6583,124,2658,1745,3715,943,470,3196,1094,520,123,284,1810,42,738,195,2187,98,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,495,1808,1277,1773,872,8232,1074,1217,1070,276,21095,625,788,4488,8532,2903,1829,11600,2498,2852,2553,1825,11392,857,1997,4838,9943,3876,1182,8081,2289,2823,2480,680,7024,427,961,2750,3137,1629,483,3479,1249,1242,1113,301,3296,704,327,1201,491,430,116,525,245,282,282,108,704,22,113,315,0,65,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1335,1620,3310,4844,1109,13091,3620,3167,1055,1213,34914,885,1881,3698,19424,5184,1387,17585,3270,5089,4316,1396,23394,570,2738,4948,18553,6495,1612,16125,2840,5983,3694,1889,16383,485,3050,2478,11425,3602,1132,9691,1169,1900,600,566,6761,291,697,764,4264,895,452,3310,221,643,358,235,2572,130,406,98,1528,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,720,3748,3017,3850,806,9953,5091,6784,1380,1203,24221,747,1405,7386,11752,5526,2229,13255,4058,6878,1603,1100,21054,706,2864,5673,7708,4794,2669,7942,3549,4557,825,1670,10836,895,2040,4428,3434,2976,1886,4086,1736,2442,837,564,4711,623,560,1780,1029,1154,610,1039,1006,663,86,299,1429,201,64,0,34,30,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,1387,5014,3055,7674,1429,10899,4229,6183,3813,1043,28910,1063,2019,8402,14997,9977,1559,13330,6185,7517,6861,1956,20532,540,3811,7817,8897,8043,2456,9482,3735,5899,2751,1368,9869,413,1866,3920,3683,2355,1329,3059,1674,2486,727,394,3049,20,676,982,646,369,335,310,511,184,176,69,177,0,0,0,0,0,0,0
